Galaxy,Other_ID,RA_hr,DEC_deg,Type,D_Mpc,D_Mpc+-,Method,A_V,M_V^T,M_V^T+-,M_K,M_K+-,N(GC),N(GC)+-,Source,sig_e_km/s,sig_e_km/s+-,R_e_kpc,R_e_kpc+-,lg_M_d_M_sun,lg_M_d_M_sun+-,lg_M_G_M_sun,lg_M_G_M_sun+-,lg_M_B_M_sun,lg_M_B_M_sun+,lg_M_B_M_sun-
NGC5845,nid,15.1002153,1.6339721,E,25.94,2.63,SBF,0.177,-19.77,0.26,-22.977,0.102,180,30,60,234,11,nd,nd,nd,nd,7.62,0.07,8.69,0.12,0.16
NGC5846,nid,15.1081241,1.6062912,E0,24.89,2.4,SBF,0.182,-22.12,0.25,-25.065,0.103,4670,1195,28,239.3,4.3,7.56,0.73,11.605,0.041,9.17,0.1,9.04,0.07,0.09
NGC5866,nid,15.108215,55.7633012,S0-a,15.35,0.87,SBF,0.044,-21.08,0.2,-24.062,0.102,370,70,14/42a,159,9.8,3.01,0.17,10.85,0.043,8.01,0.08,nd,nd,nd
ESO-274-01,nid,15.2370622,-46.8091057,Scd,3.09,0.3,TRGB,0.704,-17.47,0.2,-19.169,0.113,10,3,37,nd,nd,1.68,0.2,nd,nd,6.25,0.11,nd,nd,nd
NGC5907,nid,15.2649038,56.3289056,SABc,13.22,2.63,TF,0.035,-20.3,0.55,-23.853,0.101,170,65,59,nd,nd,7.83,1.56,nd,nd,7.63,0.14,nd,nd,nd
UGC-9799,A2052-BCG,15.2790399,7.0214564,E/cD,151,8,Hubble,0.101,-23.1,0.2,-26.358,0.114,18000,4500,48,215.8,11.6,3.3,0.5,11.155,0.068,9.82,0.1,0,9.69,0
NGC5982,nid,15.6443806,59.3558889,E3,41.47,2.7,SBF,0.059,-22.02,0.2,-24.944,0.101,1497,202,92,238.9,4.9,4.79,0.31,11.406,0.03,8.67,0.05,nd,nd,nd
UGC-9958,A2107-BCG,15.6608126,21.7831069,E/cD,180.6,9,Hubble,0.159,-23.3,0.4,-26.393,0.108,27000,13000,43a/46a,295.2,14.3,37.1,4,12.478,0.05,10.01,0.17,nd,nd,nd
A2124-1,UGC-10012,15.7497222,36.1094444,E,284.2,19.9,Hubble,0.068,-23.5,0.2,-26.692,0.119,17900,4700,6,303.5,15,9,1,11.887,0.054,9.85,0.1,nd,nd,nd
A2147-1,UGC-10143,16.0380556,15.9747222,E,153.4,10.7,Hubble,0.086,-23.08,0.2,-25.706,0.107,13100,3300,6,277.7,16.5,23.36,1.63,12.224,0.045,9.68,0.1,nd,nd,nd
UGC-10143,nid,16.0380582,15.9745596,E/cD,153,8,Hubble,0.086,-23,0.2,nd,nd,14000,3500,48,277.7,16.5,23.4,5.7,12.225,0.1,9.71,0.1,nd,nd,nd
NGC6041A,A2151-1,16.0766111,17.7216667,S0,151.8,10.6,Hubble,0.119,-22,0.3,-25.949,0.106,19800,4900,6,nd,nd,nd,nd,nd,nd,9.79,0.1,nd,nd,nd
NGC6039,A2151-2,16.0776622,17.7009754,E/S0,150.6,10.5,Hubble,0.143,-22.08,0.24,-25.266,0.116,5030,300,6,202,11.6,12.32,0.86,11.67,0.044,9.2,0.03,nd,nd,nd
A2152-2,PGC57067,16.0906667,16.4427778,S0,136.4,9.6,Hubble,0.11,-21.42,0.2,-24.785,0.116,5100,340,6,nd,nd,nd,nd,nd,nd,9.17,0.03,nd,nd,nd
A2152-1,PGC57068,16.0914444,16.4358333,E,190,13.3,Hubble,0.11,-22.6,0.2,-25.716,0.108,7800,2060,6,304.2,25.8,2.35,0.3,11.306,0.07,9.43,0.1,nd,nd,nd
