Galaxy,Other_ID,RA_hr,DEC_deg,Type,D_Mpc,D_Mpc+-,Method,A_V,M_V^T,M_V^T+-,M_K,M_K+-,N(GC),N(GC)+-,Source,sig_e_km/s,sig_e_km/s+-,R_e_kpc,R_e_kpc+-,lg_M_d_M_sun,lg_M_d_M_sun+-,lg_M_G_M_sun,lg_M_G_M_sun+-,lg_M_B_M_sun,lg_M_B_M_sun+,lg_M_B_M_sun-
ESO-154-023,nid,2.9472711,-54.5706416,Sbsm,5.9,0.5,TRGB,0.046,-16.38,0.3,nd,nd,3,1,37,nd,nd,1.67,0.2,nd,nd,5.68,0.12,nd,nd,nd
NGC1172,nid,3.026675,-14.8366111,E,21.48,2.07,SBF,0.211,-20.01,0.28,-22.468,0.105,365,25,18,112.4,4.4,4.02,0.39,10.674,0.046,7.94,0.03,nd,nd,nd
NGC1201,nid,3.0688995,-26.0696616,S0,20.23,3,SBF,0.053,-20.86,0.36,-23.86,0.102,230,80,61,166.6,4.2,2.51,0.37,10.812,0.061,7.79,0.13,nd,nd,nd
NGC1313,nid,3.3043271,-66.4975862,SBcd,4.16,0.08,TRGB,0.299,-19.75,0.24,-20.56,0.115,7,4,70,nd,nd,1.71,0.12,nd,nd,6.21,0.2,nd,nd,nd
NGC1275,PerseusA,3.3300725,41.5115451,Ep,72.9,3.65,Hubble,0.446,-22.69,0.2,-26.236,0.107,7800,2500,43a/55a,258.9,13.4,5.96,0.6,11.57,0.051,9.43,0.12,nd,nd,nd
NGC1311,nid,3.3352771,-52.1858237,SBm,5.45,0.5,TRGB,0.058,-15.76,0.2,-17.767,0.145,5,2,37,nd,nd,0.56,0.1,nd,nd,5.88,0.15,nd,nd,nd
ESO-301-G08,FCC-19,3.3729718,-37.3976383,dS0,20.27,0.7,SBF,0.054,-17.01,0.2,nd,nd,16,5,55,nd,nd,1.28,0.04,nd,nd,6.44,0.12,nd,nd,nd
NGC1316,FCC-21/ForA,3.3782565,-37.2082112,S0,21.09,0.3,SBF,0.069,-23.16,0.2,-26.041,0.102,1000,500,38/98,227.7,3.1,10.19,0.14,11.692,0.01,8.57,0.18,8.24,0.17,0.23
FCC-0025,nid,3.3926111,-36.9838889,dE0N,20,2,Fornax,0.057,-14.47,0.2,nd,nd,3.1,4.5,67,nd,nd,nd,nd,nd,nd,5.62,0.39,nd,nd,nd
ESO-357-G25,FCC-26,3.3936816,-35.778368,SB0,19.85,1.31,SBF,0.043,-17.4,0.2,-18.75,0.193,22,7,55,nd,nd,0.74,0.05,nd,nd,6.59,0.12,nd,nd,nd
ESO-358-G01,FCC-43,3.433956,-32.8944454,dS0,19.23,1.42,SBF,0.039,-18.6,0.2,-20.66,0.124,37,15,55,52.9,4.6,1.81,0.13,9.674,0.058,6.87,0.15,nd,nd,nd
IC1919,FCC-43,3.433956,-32.8944454,E/S0,19.23,1.42,SBF,0.039,-18.31,0.2,-20.66,0.124,21,10,61,52.9,4.6,1.81,0.13,9.674,0.058,6.61,0.17,nd,nd,nd
NGC1332,nid,3.4381105,-21.3352765,S0,22.91,0.2,SBF,0.108,-21.62,0.2,-24.76,0.102,1000,500,61,320.9,13.7,2.75,0.02,11.42,0.026,8.47,0.18,9.17,0.06,0.06
FCC-0046,nid,3.4402778,-37.1280556,dE4,30.2,2.2,SBF,0.051,-16.57,0.2,-19.443,0.211,9.9,5.3,67,61,5,nd,nd,nd,nd,6.21,0.19,nd,nd,nd
NGC1336,FCC-47,3.4422764,-35.713661,E4,18.74,0.28,SBF,0.037,-19.14,0.2,-21.562,0.114,276,100,55,101.2,3.9,2.32,0.04,10.344,0.024,7.78,0.13,nd,nd,nd
ESO-358-G06,FCC-55,3.4550066,-34.5263921,S0,19.18,1.13,SBF,0.027,-18.43,0.2,-20.795,0.114,37,15,55,45.8,1.2,1.2,0.07,9.369,0.029,6.87,0.15,nd,nd,nd
FCC-0059,nid,3.4629444,-33.5641667,dE0N,20,2,Fornax,0.036,-13.13,0.2,nd,nd,0,4,67,nd,nd,nd,nd,nd,nd,6.21,0.19,nd,nd,nd
NGC1339,FCC-63,3.4684949,-32.2860655,E4,20.38,0.85,SBF,0.044,-20.01,0.2,-22.858,0.102,231,80,55,161.2,3.2,1.46,0.06,10.549,0.021,7.74,0.13,nd,nd,nd
NGC1344,NGC1340,3.4721166,-31.0681243,E5,20.03,1.06,SBF,0.059,-21.18,0.2,-24.116,0.104,280,100,55,166,3.9,2.92,0.15,10.874,0.026,7.9,0.13,nd,nd,nd
NGC1345,nid,3.4921314,-17.7783902,Sc,19.9,1.4,Hubble,0.125,-17.87,0.22,-20.371,0.131,16,8,22,nd,nd,1.77,0.12,nd,nd,6.47,0.18,nd,nd,nd
NGC1351,FCC-83,3.5097147,-34.8540184,E5,31.57,0.08,SBF,0.046,-20.96,0.2,-23.713,0.104,274,90,55,140.2,3,3.7,0.01,10.83,0.013,7.87,0.12,nd,nd,nd
FCC-90,nid,3.5189591,-36.2900654,E4,19.45,1.81,SBF,0.033,-17.77,0.2,-19.621,0.156,21,7,55,nd,nd,0.99,0.09,nd,nd,6.59,0.12,nd,nd,nd
FCC-95,nid,3.5235552,-35.3310775,dSB0,19.73,0.67,SBF,0.041,-17.88,0.2,-20.015,0.152,21,7,55,nd,nd,nd,nd,nd,nd,6.59,0.12,nd,nd,nd
FCC-100,nid,3.5299027,-35.0518564,dE4,21.96,1.94,SBF,0.039,-17.07,0.2,nd,nd,34,12,55,nd,nd,nd,nd,nd,nd,6.77,0.13,nd,nd,nd
FCC-106,nid,3.5465802,-34.2386871,dS0,19.89,0.63,SBF,0.029,-17.49,0.2,-19.478,0.139,15,5,55,nd,nd,nd,nd,nd,nd,6.43,0.12,nd,nd,nd
IC1959,nid,3.5535083,-50.4142708,SBsm,6.4,0.3,TRGB,0.03,-16.81,0.2,-17.997,0.113,7,3,37,nd,nd,0.7,0.07,nd,nd,6.07,0.15,nd,nd,nd
FCC-119,nid,3.5594152,-33.5732393,S0,20.31,0.96,SBF,0.038,-17.39,0.2,nd,nd,17,6,55,nd,nd,1.73,0.08,nd,nd,6.48,0.13,nd,nd,nd
FCC-136,nid,3.5748634,-35.5464872,dE2,19.68,1.04,SBF,0.044,-17.87,0.2,-19.675,0.147,25,8,55,112.4,22.5,2.23,0.12,10.418,0.11,6.67,0.12,nd,nd,nd
FCC-146,nid,3.58656,-35.3229505,dE4N,20,2,Fornax,0.04,-13.03,0.2,nd,nd,0.6,3.4,67,nd,nd,nd,nd,nd,nd,4.88,0.82,nd,nd,nd
NGC1374,FCC-147,3.587939,-35.2263303,E,19.64,0.09,SBF,0.046,-20.43,0.2,-23.309,0.102,360,19,4,186.4,3.9,2.37,0.01,10.883,0.013,7.96,0.02,nd,nd,nd
NGC1375,FCC-148,3.5880059,-35.2656207,S0,20.02,0.98,SBF,0.048,-19.16,0.2,-21.905,0.105,86,30,55/61,66.1,1.7,1.65,0.08,9.826,0.026,7.27,0.13,nd,nd,nd
FCC-150,nid,3.5900282,-36.3638852,dE4,18.3,2,SBF,0.038,-16.47,0.2,-18.283,0.175,9.9,5.3,67,63,3,nd,nd,nd,nd,6.2,0.19,nd,nd,nd
ESO-358-G26,FCC-153,3.5919271,-34.4470832,S0,20.78,0.69,SBF,0.039,-19.55,0.2,-22.438,0.103,60,20,55,64.4,4.4,1.25,0.04,9.684,0.042,7.13,0.12,nd,nd,nd
ESO-358-G25,FCC-152,3.5925335,-32.4649084,S0-a,18,0.45,SBF,0.028,-18.49,0.2,-20.684,0.12,16,5,55,56.9,2.8,1.43,0.04,9.634,0.031,6.51,0.12,nd,nd,nd
NGC1379,nid,3.601063,-35.4411586,E,20.04,1.43,SBF,0.04,-20.64,0.2,-23.276,0.103,225,23,4,120.1,2.3,2.78,0.2,10.572,0.032,7.77,0.04,nd,nd,nd
NGC1380,FCC-167,3.6076629,-34.9761257,S0-a,18.86,1.85,SBF,0.058,-21.51,0.24,-24.515,0.102,424,100,55/58,218.5,4.8,3.39,0.33,11.178,0.042,8.1,0.09,nd,nd,nd
NGC1381,FCC-170,3.6088084,-35.2952129,S0,18.78,1.76,SBF,0.045,-19.91,0.23,-22.95,0.101,71,25,55,151.2,2.5,1.13,0.11,10.38,0.042,7.23,0.13,nd,nd,nd
FCC-174,nid,3.6126008,-33.014863,dE1N,22.1,1.9,Hubble,0.021,-15.47,0.2,nd,nd,9.9,4.6,67,nd,nd,nd,nd,nd,nd,6.16,0.17,nd,nd,nd
NGC1380A,FCC-177,3.6131885,-34.7396157,S0,16.89,1.81,SBF,0.049,-18.78,0.27,-21.569,0.106,70,25,55,54.4,3.7,1.46,0.16,9.605,0.059,7.16,0.13,nd,nd,nd
FCC-182,nid,3.6150796,-35.3746381,SB0,19.57,0.79,SBF,0.036,-17.57,0.2,-19.855,0.125,59,20,55,61.6,3.2,1.24,0.05,9.642,0.035,7.03,0.13,nd,nd,nd
NGC1387,FCC-184,3.6158538,-35.5066275,E/S0,19.82,0.7,SBF,0.042,-20.84,0.2,-24.065,0.102,390,27,4,170.2,11.8,2.2,0.08,10.774,0.043,8.02,0.03,nd,nd,nd
FCC-189,nid,3.6189308,-34.7313617,dE4N,20,2,Fornax,0.038,-13.37,0.2,nd,nd,0.6,4.2,67,nd,nd,nd,nd,nd,nd,4.89,0.9,nd,nd,nd
NGC1380B,FCC-190,3.6191619,-35.1951049,SB0,22.02,1.14,SBF,0.057,-18.85,0.2,-21.676,0.109,156,50,55,78.1,2.9,1.63,0.08,9.966,0.031,7.51,0.12,nd,nd,nd
NGC1389,FCC-193,3.6199172,-35.7460236,SB0,20.87,1.53,SBF,0.035,-20.13,0.21,-22.969,0.102,48,16,55/61,135.1,6.2,1.52,0.11,10.411,0.04,7.07,0.12,nd,nd,nd
ESO-358-G42,FCC-203,3.6358844,-34.5185751,dE6,20.69,0.8,SBF,0.032,-16.93,0.2,-18.587,0.231,30,10,55,nd,nd,1.69,0.06,nd,nd,6.7,0.12,nd,nd,nd
ESO-358-G43,FCC-204,3.6371175,-33.1272534,dS0,21.08,0.74,SBF,0.029,-17.36,0.2,-19.778,0.151,17,6,55,67,4,1.26,0.04,9.722,0.038,6.48,0.13,nd,nd,nd
NGC1399,FCC-213,3.641408,-35.4506257,E1,20.68,0.5,SBF,0.043,-22.03,0.2,-25.276,0.104,6000,700,Mar-93,337,16,9.7,0.23,12.011,0.03,9.28,0.05,8.69,0.06,0.07
NGC1404,FCC-219,3.6477546,-35.5942446,E1,20.43,0.4,SBF,0.038,-21.59,0.2,-24.735,0.102,770,140,29/41/87,234.4,4.2,2.78,0.05,11.153,0.014,8.36,0.07,nd,nd,nd
NGC1400,nid,3.6585692,-18.6881481,S0,26.42,4.34,SBF,0.214,-21.36,0.2,-24.322,0.102,2960,958,79,251.5,4.4,3.47,0.57,11.31,0.067,8.93,0.12,nd,nd,nd
NGC1427A,nid,3.6692548,-35.6245057,Ibsm,16,2,TRGB,0.033,-18.5,0.2,-17.151,0.279,38,15,37,nd,nd,2.81,0.3,nd,nd,6.88,0.14,nd,nd,nd
NGC1407,nid,3.6699637,-18.5803554,E0,28.84,3.67,SBF,0.228,-22.86,0.35,-25.623,0.103,7000,2000,94,270.6,6.1,10.38,1.32,11.85,0.054,9.4,0.11,nd,nd,nd
FCC-238,nid,3.67142,-36.534599,dE5N,20,2,Fornax,0.025,-13.47,0.2,nd,nd,2.5,2.5,67,nd,nd,nd,nd,nd,nd,5.51,0.3,nd,nd,nd
FCC-242,nid,3.672355,-37.644901,dE5,20,2,Fornax,0.039,-14.37,0.2,nd,nd,0,3.3,67,nd,nd,nd,nd,nd,nd,5.51,0.3,nd,nd,nd
FCC-246,nid,3.67714,-36.120998,dE2,20,2,Fornax,0.031,-13.07,0.2,nd,nd,0,3.4,67,nd,nd,nd,nd,nd,nd,5.51,0.3,nd,nd,nd
NGC1419,FCC-249,3.6783714,-37.5108809,E0,20.15,1.84,SBF,0.043,-18.97,0.22,-21.64,0.103,155,50,55,120.8,2.8,0.85,0.08,10.062,0.04,7.52,0.12,nd,nd,nd
FCC-254,nid,3.6835593,-35.7425209,dE0N,20.4,2,Hubble,0.028,-14.57,0.2,nd,nd,5.6,5.2,67,nd,nd,nd,nd,nd,nd,5.88,0.29,nd,nd,nd
ESO-358-G50,FCC-255,3.6843403,-33.7794603,S0,19.97,0.63,SBF,0.016,-18.59,0.2,-21.071,0.112,80,25,55,48.2,7.9,1.25,0.04,9.43,0.091,7.21,0.12,nd,nd,nd
NGC1427,FCC-276,3.7053874,-35.3927754,E,20.52,2,SBF,0.037,-20.74,0.24,-23.426,0.102,500,60,34/60,162.1,3.5,2.98,0.3,10.862,0.043,8.12,0.05,nd,nd,nd
NGC1428,FCC-277,3.7063777,-35.1533815,E5,20.69,0.76,SBF,0.028,-18.7,0.2,999999,99999,42,13,55,81.7,10.5,0.91,0.03,9.751,0.074,6.93,0.12,nd,nd,nd
NGC1426,nid,3.7136417,-22.1083611,E,24.1,2.08,SBF,0.055,-20.58,0.24,-23.245,0.102,240,20,18,150.5,2.2,3,0.26,10.801,0.037,7.79,0.03,nd,nd,nd
ESO-358-G56,FCC-288,3.7229538,-33.9400199,dS0,21.68,0.8,SBF,0.016,-16.96,0.2,-18.967,0.177,17,6,55,48,3,0.95,0.04,9.307,0.04,6.46,0.13,nd,nd,nd
NGC1439,nid,3.7472206,-21.9207205,E1,26.67,1.91,SBF,0.099,-20.84,0.2,-23.57,0.104,260,30,18/60,150.2,5.4,4.46,0.32,10.972,0.037,7.84,0.05,nd,nd,nd
ESO-358-G59,FCC-301,3.7509996,-35.9726965,E4,20.89,2.02,SBF,0.025,-18.49,0.2,-21.001,0.108,21,7,55,46.7,1.6,0.95,0.03,9.284,0.024,6.62,0.12,nd,nd,nd
FCC-303,nid,3.7539203,-36.9367901,dE1,19.69,0.7,SBF,0.029,-17.36,0.2,-17.432,0.261,22,7,55,27,11,nd,nd,nd,nd,6.59,0.12,nd,nd,nd
NGC1460,FCC-310,3.7704769,-36.6963961,SB0,19.94,0.61,SBF,0.03,-18.9,0.2,-21.542,0.109,39,12,55,60.4,7.2,1.92,0.06,9.815,0.069,6.91,0.12,nd,nd,nd
FCC-316,nid,3.7837212,-36.4375213,dE1N,20.9,2.1,Hubble,0.03,-15.47,0.2,nd,nd,21.1,6.9,67,nd,nd,nd,nd,nd,nd,6.49,0.12,nd,nd,nd
ESO-358-G66,FCC-324,3.7979611,-36.4716667,dS0,20.08,0.72,SBF,0.026,-17.22,0.2,-18.314,0.239,21,7,55,nd,nd,1.82,0.06,nd,nd,6.56,0.12,nd,nd,nd
ESO-359-G02,FCC-335,3.8435348,-35.9093678,E,19.43,0.62,SBF,0.04,-18.18,0.2,-20.176,0.128,14,5,55,53.5,2.6,1.59,0.05,9.626,0.032,6.43,0.13,nd,nd,nd
NGC1483,nid,3.8798889,-47.4775,SBbc,15.7,1.1,Hubble,0.023,-18.32,0.2,-20.397,0.124,5,4,22,nd,nd,1.66,0.12,nd,nd,5.99,0.26,nd,nd,nd
IC2006,ESO-359-G07,3.9079102,-35.9672037,E,20.24,0.76,SBF,0.03,-20.27,0.2,-23.052,0.102,132,40,55,123.7,2.3,2.38,0.09,10.531,0.02,7.52,0.11,nd,nd,nd
UGCA-86,nid,3.9973611,67.1436111,Im,2.96,0.3,TRGB,2.583,-16.13,0.2,-14.51,0.205,11,4,37,nd,nd,nd,nd,nd,nd,6.24,0.13,nd,nd,nd
IC2035,nid,4.1505312,-45.5176012,E/S0,20.8,1.5,Hubble,0.037,-19.71,0.2,-22.724,0.101,55,10,18,106.7,2.3,0.65,0.05,9.838,0.035,7.1,0.07,nd,nd,nd
NGC1533,nid,4.1644027,-56.1184631,E/S0,21.38,4.09,SBF,0.051,-20.98,0.54,-24.031,0.102,250,30,21,185.4,4.9,3.15,0.6,11.003,0.077,7.83,0.05,nd,nd,nd
NGC1549,nid,4.2625382,-55.5922874,E,19.68,1.7,SBF,0.042,-21.72,0.27,-24.691,0.103,140,60,10,202.3,4,4.76,0.41,11.258,0.038,7.63,0.15,nd,nd,nd
NGC1553,nid,4.2695796,-55.780024,S0,18.54,1.51,SBF,0.044,-21.98,0.26,-25.064,0.102,540,160,10,177.2,4.3,5.15,0.42,11.177,0.037,8.23,0.11,nd,nd,nd
NGC1581,nid,4.4124889,-54.942,E/S0,22.8,1.6,Hubble,0.024,-18.96,0.3,-21.944,0.107,4,4,61,nd,nd,1.15,0.08,nd,nd,5.93,0.3,nd,nd,nd
NGC1600,nid,4.5277361,-5.0860833,E3,66,4.6,Hubble,0.147,-23.33,0.2,-26.073,0.102,2850,500,88,334.3,7.2,14.53,1.01,12.179,0.032,9.04,0.07,nd,nd,nd
UGCA-92,nid,4.5343056,63.6161111,Im,3.01,0.3,TRGB,2.173,-14.71,0.2,nd,nd,2,2,37,nd,nd,1.01,0.11,nd,nd,5.44,0.3,nd,nd,nd
ESO-118-034,nid,4.6715111,-58.7441889,S0,16.6,1.2,Hubble,0.043,-17.45,0.2,-20.517,0.115,3,2,61,nd,nd,0.5,0.04,nd,nd,5.73,0.22,nd,nd,nd
NGC1700,nid,4.9489833,-4.8659744,E4,44.26,3.38,SBF,0.142,-22.14,0.2,-25.157,0.102,1320,270,12,238.5,4.2,3.97,0.3,11.322,0.033,8.63,0.08,nd,nd,nd
UGC-3274,A539-2,5.27692,6.4417,MG,115.7,8.1,Hubble,0.459,-21.1,0.2,-25.549,0.127,6870,1970,7,195.2,10.7,nd,nd,nd,nd,9.28,0.11,nd,nd,nd
CGCG421-019,A539-1,5.2819853,6.5524695,E,138.4,9.7,Hubble,0.522,-22.3,0.2,-25.687,0.105,6850,2100,7,311.6,17.6,nd,nd,nd,nd,9.35,0.12,nd,nd,nd
LMC,PGC17223,5.3929433,-69.756104,Irr,0.05,0,Cepheids/RRL,0.206,-18.36,0.2,nd,nd,16,5,37,nd,nd,nd,nd,nd,nd,6.5,0.12,nd,nd,nd
ESO-306-017,PGC017570,5.6685313,-40.8362699,E3/cD,154.26,7.71,Hubble,0.108,-23.7,0.2,-26.43,0.119,11577,1046,1a,269.9,13.1,37.39,6,12.404,0.045,9.67,0.04,nd,nd,nd
NGC2082,nid,5.6975333,-64.3010833,SBb,17.8,1.3,Hubble,0.192,-19.38,0.21,-21.912,0.112,27,17,22,nd,nd,2.23,0.16,nd,nd,6.78,0.21,nd,nd,nd
NGC2329,A569-1,7.1522255,48.6156184,E/S0,84,5.9,Hubble,0.236,-22.41,0.29,-25.246,0.104,2120,780,7,239.9,4.7,8.58,0.5,11.662,0.027,8.85,0.14,0,8.36,0
UGC-3755,nid,7.2310228,10.5210645,Im,7.41,0.8,TRGB,0.244,-15.5,0.2,nd,nd,9,3,37,nd,nd,0.86,0.1,nd,nd,6.12,0.12,nd,nd,nd
ESO-059-01,nid,7.5217875,-68.1875311,Ibsm,4.57,0.5,TRGB,0.402,-14.6,0.2,nd,nd,1,1,37,nd,nd,1.06,0.2,nd,nd,5.13,0.3,nd,nd,nd
NGC2434,nid,7.5808894,-69.2842123,E0,21.58,3.08,SBF,0.821,-21.23,0.35,-23.873,0.103,143,40,36,186.9,6.8,2.89,0.41,10.972,0.061,7.61,0.11,nd,nd,nd
UGC-3974,nid,7.6987222,16.8025,Ibm,8.04,0.8,TRGB,0.092,-15.33,0.2,nd,nd,4,2,37,nd,nd,nd,nd,nd,nd,5.76,0.18,nd,nd,nd
UGC-4115,nid,7.9505994,14.3910145,Im,7.72,0.8,TRGB,0.077,-15.12,0.2,nd,nd,5,2,37,nd,nd,1.01,0.1,nd,nd,5.85,0.15,nd,nd,nd
UGC-4289,A634-1,8.2624655,58.3208441,E,117.9,8.3,Hubble,0.161,-22.46,0.26,-25.54,0.106,2690,740,7,245.2,7.3,10.33,0.73,11.762,0.034,8.96,0.11,nd,nd,nd
DDO-52,nid,8.4745681,41.8566093,Im,10.4,1,TRGB,0.1,-14.98,0.2,nd,nd,2,2,37,nd,nd,1.5,0.15,nd,nd,5.45,0.3,nd,nd,nd
KK-197,PGC-46680,8.6325556,-57.9738889,Im,3.87,0.4,TRGB,0.466,-13.04,0.2,-16.482,0.123,3,2,37,nd,nd,nd,nd,nd,nd,5.58,0.22,nd,nd,nd
NGC2683,nid,8.87811,33.4211,Sb,7.73,1.39,SBF,0.109,-19.8,0.46,-23.125,0.101,120,40,82,117.5,9,2.09,0.38,10.429,0.083,7.45,0.12,nd,nd,nd
NGC2758,nid,9.0920136,-19.04277,SBbc,32.4,2.3,Hubble,0.346,-20.57,0.2,-21.147,0.143,99,32,22,nd,nd,2.66,0.19,nd,nd,7.41,0.12,nd,nd,nd
A754-1,PGC25714,9.1423333,-9.63,E,239.3,16.8,Hubble,0.172,-24.19,0.2,-26.531,0.113,16400,4800,6,346,9.8,33.24,2.33,12.569,0.034,9.85,0.11,nd,nd,nd
A754-2,PGC25721,9.1441444,-9.62525,S,240,16,Hubble,0.17,-22.1,0.2,-24.611,0.135,4600,800,6,nd,nd,nd,nd,nd,nd,9.17,0.07,nd,nd,nd
NGC2768,nid,9.1937446,60.0372538,E,22.39,2.62,SBF,0.147,-22.03,0.36,-24.769,0.105,720,240,61,181.1,3.7,6.8,0.8,11.317,0.05,8.36,0.12,nd,nd,nd
NGC2778,nid,9.206775,35.0274167,E,22.91,3.39,SBF,0.069,-19.45,0.36,-22.294,0.104,50,30,36,175,8,1.75,0.26,10.698,0.065,7.05,0.2,7.15,0.3,0.3
NGC2832,A779-1,9.3296571,33.7495665,E2,102.8,7.2,Hubble,0.06,-23.25,0.2,-26.368,0.103,4400,1000,Jul-53,334,7.4,12.73,0.89,12.121,0.032,9.22,0.09,0,9.95,0
NGC2865,nid,9.3917154,-23.1616091,E3,37.84,3.65,SBF,0.27,-21.5,0.26,-24.461,0.102,712,108,92,171.6,3.5,2.63,0.25,10.858,0.042,8.32,0.06,nd,nd,nd
ESO-498-005,nid,9.4113051,-25.0926736,SABd,32,3,TF,0.108,-19.7,0.2,-22.322,0.116,58,12,22,nd,nd,3.77,0.3,nd,nd,7.13,0.08,nd,nd,nd
NGC2915,PGC26761,9.4365278,-76.6263889,SBab,4.06,0.2,TRGB,0.753,-16.12,0.2,-18.298,0.115,>3,0,66a,nd,nd,0.31,0.06,nd,nd,nd,nd,nd,nd,nd
NGC2902,nid,9.5146999,-14.7358814,S0,33.3,2.4,Hubble,0.217,-20.62,0.31,-23.531,0.104,35,20,61,nd,nd,2.48,0.18,nd,nd,6.96,0.2,nd,nd,nd
NGC3056,nid,9.909134,-28.2980459,S0-a,12.19,1.49,SBF,0.296,-19.06,0.41,-21.824,0.103,23,10,61,74.5,3.1,0.97,0.12,9.7,0.056,6.69,0.16,nd,nd,nd
NGC3031,M81,9.9258686,69.0654379,Sab,3.55,0.07,TRGB/Cepheid,0.266,-21.08,0.2,-23.949,0.102,300,100,72/89,143,7,3.41,0.07,10.812,0.03,7.92,0.12,7.84,0.11,0.06
NGC3073,nid,10.0144637,55.6189152,E/S0,33.73,18.03,SBF,0.033,-19.27,1.44,-21.84,0.126,130,20,18,34.8,3.9,1.66,0.89,9.272,0.193,7.45,0.06,nd,nd,nd
ESO-499-037,nid,10.0616193,-27.0278003,SABc,16.9,3.42,TF,0.205,-19.15,0.2,-18.474,0.153,14,11,22,nd,nd,3.61,0.73,nd,nd,6.48,0.25,nd,nd,nd
NGC3115,nid,10.0872139,-7.7185556,S0,10,0.5,SBF/PNLF,0.157,-21.19,0.2,-24.134,0.101,550,80,26,230,11,1.51,0.06,10.871,0.033,8.19,0.06,8.96,0.19,0.15
NGC3115DW1,PGC029300,10.0948889,-7.9813889,dEN,10.1,0.3,SBF/PNLF/TRG,0.174,-17.64,0.2,-19.987,0.13,60,20,25/80,29,10,2.5,0.8,9.291,0.2,7.04,0.12,nd,nd,nd
IKN,nid,10.134985,68.3992608,dSph,3.75,0.4,TRGB,0.168,-11.51,0.2,nd,nd,5,2,37,nd,nd,nd,nd,nd,nd,5.78,0.15,nd,nd,nd
NGC3156,nid,10.2114599,3.1293359,S0,22.39,1.49,SBF,0.113,-19.56,0.27,-22.214,0.107,115,15,18,83.5,6.8,1.56,0.1,10.005,0.054,7.42,0.05,nd,nd,nd
CGCG065-015,A999-1,10.3899275,12.8350704,E,144.4,10.1,Hubble,0.111,-22.3,0.2,-25.698,0.107,2160,780,7,272.2,13.1,2.4,0.3,11.219,0.058,8.85,0.13,nd,nd,nd
NGC3226,nid,10.3908331,19.8983583,E,23.55,2.75,SBF,0.075,-20.53,0.46,-23.298,0.107,470,200,46,193.5,5.1,3.93,0.46,11.136,0.05,8.08,0.15,nd,nd,nd
IC613,A1016-1,10.4521639,11.0106843,E,143.9,10.1,Hubble,0.085,-21.85,0.2,-25.108,0.111,1330,440,7,261.9,5.9,1.72,0.2,11.041,0.049,8.61,0.12,nd,nd,nd
NGC3258,nid,10.4815547,-35.6053845,E1,32.06,4.25,SBF,0.279,-21.33,0.33,-24.254,0.103,6000,150,5,276.1,9.4,4.65,0.62,11.518,0.058,9.24,0.01,nd,nd,nd
NGC3268,nid,10.5001969,-35.3255622,E2,34.83,4.25,Hubble,0.341,-21.6,0.34,-24.594,0.104,4750,150,5,223.5,30.2,5.71,0.7,11.424,0.089,9.15,0.01,nd,nd,nd
NGC3259,nid,10.5430151,65.0410954,SABb,25.7,1.8,Hubble,0.04,-20.35,0.3,-21.838,0.105,29,16,22,nd,nd,2.12,0.2,nd,nd,6.86,0.19,nd,nd,nd
NGC3311,nid,10.6118836,-27.5278788,E2,44.26,4,SBF,0.263,-21.84,0.2,-25.156,0.107,16500,2000,20,185.2,7,18.91,1.88,11.781,0.046,9.71,0.05,nd,nd,nd
NGC3348,nid,10.7861083,72.8396667,E0,41.5,2.9,Hubble,0.245,-22.19,0.31,-25.152,0.101,3100,1000,20,238.4,10,5.26,0.37,11.444,0.038,9,0.12,nd,nd,nd
NGC3377,nid,10.7951044,13.9856408,E5,11.04,0.25,TRGB/SBF,0.113,-19.95,0.2,-22.786,0.104,191,15,18,145,7,1.84,0.04,10.557,0.03,7.66,0.03,8.25,0.19,0.29
NGC3379,M105,10.7971083,12.5816111,E1,10.2,0.5,TRGB,0.081,-20.9,0.2,-23.782,0.102,216,42,26/86,206,10,1.79,0.14,10.849,0.043,7.77,0.08,8.04,0.22,0.26
NGC3384,nid,10.8046995,12.6294009,SB0,10.8,0.77,SBF,0.088,-20.49,0.2,-23.427,0.102,120,30,42a,143,7,1.4,0.09,10.426,0.04,7.49,0.1,7.04,0.16,0.26
LGC-0050,LSBC-D640-11,10.8504167,13.3333333,dE/N,11,2,Leogroup,0.07,-14.13,0.2,nd,nd,7.5,4,67,nd,nd,nd,nd,nd,nd,6,0.19,nd,nd,nd
NGC3414,nid,10.8544917,27.9748333,S0,25.23,4.14,SBF,0.081,-21.1,0.42,-24.037,0.101,400,200,61,236.8,7.5,2.54,0.42,11.122,0.069,8.05,0.18,8.4,0.06,0.08
NGC3455,nid,10.9086324,17.2847178,SABb,20.6,1.5,Hubble,0.091,-17.86,0.2,-21.192,0.113,27,14,22,nd,nd,nd,nd,nd,nd,6.7,0.18,nd,nd,nd
NGC3489,nid,11.0051603,13.9011902,S0,12.08,0.86,SBF,0.055,-20.18,0.2,-23.046,0.1,100,50,61,104.5,2.3,1.19,0.09,10.082,0.033,7.39,0.18,nd,nd,nd
UGC-6203,A1177-1,11.1623418,21.7587474,E,141.6,9.9,Hubble,0.049,-22.1,0.2,-26.072,0.107,4880,1400,7,268.3,7.1,nd,nd,nd,nd,9.19,0.11,nd,nd,nd
NGC3557,nid,11.166028,-37.539245,E,45.71,4.87,SBF,0.327,-23.25,0.29,-26.132,0.101,1075,740,71,267.7,8.3,7.56,0.81,11.703,0.048,8.61,0.23,nd,nd,nd
